% Model:              GenSignalFourierDec.mph
% Version:            COMSOL 4.3.2.189
% Date:               Nov 25 2013, 12:07
% Table:              Probe Table 1 - 
% k                      m                        l                        gammac1*Ar, gammac1*Ar   gammas1*Ar, gammas1*Ar   gammac2*Ar, gammac2*Ar   gammas2*Ar, gammas2*Ar   gammac3*Ar, gammac3*Ar   gammas3*Ar, gammas3*Ar
18                       2                        4                        5.888097691266649E-17    -5.67918717026323E-16    -1.0000935457120813E-13  1.3215827946853573E-15   6.89641967264077E-14     -1.640682632498331E-14
19                       1                        1                        6.152166744525886E-14    1.3233507885475883E-14   2.7042073422332053E-12   -5.236282367313305E-12   -1.113068776369526E-12   4.052403463952738E-12
19                       1                        2                        0.11927492357551087      -0.02773027277994115     0.7535543530379464       1.1037489437062347       -0.6891413144529138      -0.6584403072933664
19                       1                        3                        1.1804914501117572E-14   1.1564267195660289E-14   1.473290513105877E-12    -2.52582505828526E-12    -6.374213602210071E-13   1.987397270906196E-12
19                       1                        4                        -2.6526026652025618E-15  -4.553752537665947E-16   1.0268182723959361E-15   4.921284209517203E-13    -7.649148051243032E-14   -3.430142115749892E-13
19                       2                        1                        2.893823153918813E-15    -1.3453184695978505E-14  -1.1450384349702335E-12  -5.913396422296411E-13   8.861549845015669E-13    2.4339912163110087E-13
19                       2                        2                        -2.0389659973341937E-15  -8.770108950286006E-15   8.115702950465414E-14    -5.5407738514890375E-14  -4.841414322647592E-14   5.067154293189702E-14
19                       2                        3                        -1.1940642163960554E-14  1.2189121669465097E-14   2.6080315063526467E-12   1.5212407771874865E-12   -2.0520798465244033E-12  -6.581671140670293E-13
19                       2                        4                        4.151237669817571E-16    -2.4181340593154002E-15  -4.486282517443503E-13   9.360559038123948E-16    3.1269453156336983E-13   -6.973025278230344E-14
20                       1                        1                        -2.194125399624447E-14   -3.43305764049085E-15    -8.67122210620497E-13    2.001101549319718E-12    3.152762154743105E-13    -1.534015609657635E-12
20                       1                        2                        2.394692389783316E-15    -7.784955873604065E-16   1.521483452809055E-14    2.1275290028822823E-14   -1.3829673155791178E-14  -1.2713230370327425E-14
20                       1                        3                        8.221079286964317E-16    7.772614977421007E-16    9.259050118830202E-14    -1.870615185349671E-13   -3.6355138262619527E-14  1.455687920999616E-13
20                       1                        4                        5.170804977957406E-16    1.23291766102584E-16     7.649091717038396E-16    -1.0134361816851412E-13  1.4978457842567672E-14   7.132887501854086E-14
20                       2                        1                        7.043405294690114E-15    -4.501559857569025E-14   -4.105544016194526E-12   -1.7790243590188204E-12  3.1472508773180505E-12   6.468339295036322E-13
20                       2                        2                        1.0609652897831084E-15   3.2635836946027E-15      -2.8994826202144276E-14  2.0735392195501443E-14   1.7326104817310068E-14   -1.8847638223919294E-14
20                       2                        3                        1.7580914827360416E-16   -1.8595298390619283E-16  -4.231153395644001E-14   -2.0943089544889448E-14  3.292627440371423E-14    8.223186028567676E-15
